Date,Close/Last,Volume,Open,High,Low
08/22/2024,4.91,12621390,4.475,4.96,4.42
08/21/2024,4.59,9661171,4.67,4.715,4.52
08/20/2024,4.675,11329200,4.60,4.77,4.49
08/19/2024,4.49,12116260,4.92,4.99,4.4834
08/16/2024,4.91,13308710,5.12,5.18,4.87
08/15/2024,5.04,10546840,5.43,5.55,5.01
08/14/2024,5.50,11982360,5.44,5.88,5.44
08/13/2024,5.67,10399750,6.12,6.22,5.67
08/12/2024,6.51,12899380,6.88,6.8901,6.26
08/09/2024,7.11,7935970,7.02,7.28,6.86
08/08/2024,7.06,13660200,7.55,8.28,6.9921
08/07/2024,8.10,14705880,6.83,8.10,6.6806
08/06/2024,7.34,18236760,7.38,7.895,6.76
08/05/2024,7.87,25288010,8.97,9.19,7.5209
08/02/2024,7.01,24362670,7.47,7.745,6.835
08/01/2024,6.73,26060850,5.90,7.00,5.65
07/31/2024,5.97,20181270,6.60,6.90,5.78
07/30/2024,7.995,14792800,7.01,8.13,6.96
07/29/2024,7.005,7693320,6.75,7.03,6.42
07/26/2024,6.82,10627210,6.46,6.9931,6.43
07/25/2024,6.90,23572570,6.825,7.61,6.40
07/24/2024,6.665,14137300,6.205,6.745,6.14
07/23/2024,5.885,5784873,5.865,5.915,5.68
07/22/2024,5.76,12255830,6.11,6.1701,5.725
07/19/2024,6.38,9595805,6.14,6.44,6.02
07/18/2024,6.05,16267330,5.97,6.55,5.93
07/17/2024,6.40,18798120,6.11,6.5099,6.05
07/16/2024,5.64,12097290,5.46,5.80,5.415
07/15/2024,5.4601,3333300,5.3101,5.5798,5.2201
07/12/2024,5.4001,10792079,5.4901,5.5801,5.1601
07/11/2024,5.5351,10572351,4.92,5.5801,4.8906
07/10/2024,4.98,6450759,5.0701,5.1901,4.98
07/09/2024,5.3101,8840468,5.3701,5.5198,5.0701
07/08/2024,5.5201,7544921,5.6251,5.6551,5.3101
07/05/2024,5.7751,4169198,5.6101,5.7901,5.4901
07/03/2024,5.5651,6398063,6.2101,6.2281,5.5501
07/02/2024,6.1201,4114929,6.2101,6.2554,6.0301
07/01/2024,5.9551,8937664,6.0601,6.4801,5.8951
06/28/2024,6.0451,7940421,5.9101,6.0901,5.6101
06/27/2024,5.9401,5405976,5.9401,6.0601,5.7451
06/26/2024,5.7301,9761599,5.7901,6.1201,5.5801
06/25/2024,5.7601,12812395,6.3601,6.5251,5.7601
06/24/2024,6.6901,12842218,6.2101,6.6901,6.0601
06/21/2024,5.8501,16055259,5.8801,6.0601,5.5201
06/20/2024,5.5201,16816372,4.86,5.6251,4.77
06/18/2024,5.1601,6489302,5.5201,5.5501,5.1001
06/17/2024,5.5201,3967047,5.4001,5.6701,5.3101
06/14/2024,5.4301,5958944,5.6101,5.7901,5.3701
06/13/2024,5.6701,4588331,5.7001,5.9101,5.6401
06/12/2024,6.0601,5616737,6.3151,6.3601,5.9101
06/11/2024,6.5401,4308930,6.4801,6.7801,6.3601
06/10/2024,6.4651,6234674,6.6301,6.9901,6.3301
06/07/2024,6.5701,4174972,6.6751,6.8701,6.4801
06/06/2024,6.5401,7741206,6.2701,6.8398,6.0682
06/05/2024,6.4201,4483532,6.8851,6.9901,6.3901
06/04/2024,7.1251,3354806,7.2601,7.4398,7.1101
06/03/2024,7.3201,3690106,7.5001,7.7551,7.2901
05/31/2024,8.0701,5896254,7.6801,8.4751,7.6501
05/30/2024,7.9651,4333367,7.4251,8.0701,7.2901
05/29/2024,7.4101,3801469,7.6801,7.9201,7.3201
05/28/2024,7.4701,4364840,8.1301,8.2201,7.4101
05/24/2024,8.7601,2392635,9.1201,9.3898,8.7601
05/23/2024,9.2551,5577694,9.6901,9.7501,8.6701
05/22/2024,11.3551,2932133,11.2201,11.7355,11.1001
05/21/2024,11.2501,1132932,11.6701,11.7691,11.2501
05/20/2024,11.3851,1203754,11.6701,11.7301,11.2801
05/17/2024,11.9701,1236671,11.5201,12.1351,11.4451
05/16/2024,11.4901,1403367,11.3851,11.5651,11.1604
05/15/2024,11.4301,2122821,12.0151,12.2401,11.3704
05/14/2024,12.3601,1482114,12.8101,12.9901,12.2401
